id,block,total,aCount,abCount,bCount,bcCount,cCount,dCount,fCount,letter
4884,"GEOG/ENVIR ST/F&W ECOL/G L E/GEOSCI/LAND ARC 371",219,73,25,67,6,28,6,4,B
4885,"GEOG/ENVIR ST/F&W ECOL/G L E/GEOSCI/LAND ARC 372",0,0,0,0,0,0,0,0,N/A
4886,"GEOG/CIV ENGR/ENVIR ST 377",2074,807,365,473,148,133,74,30,B
4887,"GEOG 378",725,452,125,76,18,20,4,15,A
4888,"GEOG 379",17,14,3,0,0,0,0,0,A
4889,"GEOG 399",76,51,7,4,2,3,0,2,A
4890,"GEOG/AMER IND 410",33,24,1,5,1,0,0,0,A
4891,"GEOG/GEOSCI 420",147,33,45,33,11,8,1,0,B
4892,"GEOG/C&E SOC/ENVIR ST 434",245,68,63,76,15,14,2,0,B
4893,"GEOG/ENVIR ST 439",292,175,48,33,12,6,2,8,A
4894,"GEOG/ENVIR ST/HISTORY 460",2732,932,759,561,137,39,14,8,B
4895,"GEOG/ENVIR ST/HISTORY 469",490,141,101,51,10,1,1,0,A
4896,"GEOG 475",139,97,21,11,3,1,0,0,A
4897,"GEOG 500",50,31,8,3,1,0,0,0,A
4898,"GEOG 501",212,139,35,15,8,6,1,1,A
4899,"GEOG/URB R PL 503",62,44,8,5,1,0,0,0,A
4900,"GEOG/GEN&WS 504",8,7,0,0,0,0,0,0,A
